1101,Abilene Chr,abilene-christian,cheyenne-business-college,merchant-marine-academy,
1102,Air Force,air-force,california-irvine,wake-forest,
1103,Akron,akron,armstrong,north-carolina-wilmington,
1104,Alabama,alabama,alabama-am,alabama-state,
1105,Alabama A&M,alabama-am,alabama-birmingham,alabama,
1106,Alabama St,alabama-state,south-alabama,alabama,
1107,Albany NY,albany-ny,st-francis-ny,allegheny,
1108,Alcorn St,alcorn-state,appalachian-state,maryland-eastern-shore,
1109,Alliant Intl,alliant-international,haskell-indian-nations-institute,florida-international,
1110,American Univ,american,texas-pan-american,cumberland-university,
1111,Appalachian St,appalachian-state,michigan-state,abilene-christian,
1112,Arizona,arizona,northern-arizona,arizona-state,
1113,Arizona St,arizona-state,northern-arizona,arizona,
1114,Ark Little Rock,arkansas-little-rock,north-carolina-asheville,city-college-of-new-york,
1115,Ark Pine Bluff,arkansas-pine-bluff,arkansas-little-rock,cheyenne-business-college,
1116,Arkansas,arkansas,central-arkansas,arkansas-pine-bluff,
1117,Arkansas St,arkansas-state,central-arkansas,arkansas-little-rock,
1118,Armstrong St,armstrong,arizona-state,texas-arlington,
1119,Army,army,armstrong,merchant-marine-academy,
1120,Auburn,auburn,washburn,stephen-f-austin,
1121,Augusta,augusta-state,augustana-il,stephen-f-austin,
1122,Austin Peay,austin-peay,stephen-f-austin,massachusetts-institute-of-technology,
1123,Ball St,ball-state,cal-state-bakersfield,long-beach-state,
1124,Baylor,baylor,baltimore,maryland-baltimore-county,
1125,Belmont,belmont,beloit,vermont,
1126,Bethune-Cookman,bethune-cookman,maryland-baltimore-county,cheyenne-business-college,
1127,Binghamton,binghamton,birmingham-southern,alabama-birmingham,
1128,Birmingham So,birmingham-southern,alabama-birmingham,binghamton,
1129,Boise St,boise-state,bowling-green-state,st-bonaventure,
1130,Boston College,boston-college,college-of-charleston,washington-college,
1131,Boston Univ,boston-university,baker-university,boston-college,
1132,Bowling Green,bowling-green-state,north-carolina-greensboro,green-bay,
1133,Bradley,bradley,nebraska-wesleyan,brigham-young-college,
1134,Brooklyn,brooklyn,stony-brook,brown,
1135,Brown,brown,morris-brown,brooklyn,
1136,Bryant,bryant,california-santa-barbara,maryland-baltimore-county,
1137,Bucknell,bucknell,cornell,cheyenne-business-college,
1138,Buffalo,buffalo,arkansas-pine-bluff,bloomsburg,
1139,Butler,butler,baker-university,boston-university,
1140,BYU,brigham-young,,new-york-university,brigham-young-college
1141,C Michigan,central-michigan,eastern-michigan,western-michigan,
1142,Cal Poly SLO,cal-poly,central-pennsylvania-college,cal-state-los-angeles,
1143,California,california,southern-california,california-santa-barbara,
1144,Campbell,campbell,cornell,carnegie-mellon,
1145,Canisius,canisius,california-davis,texas-am-corpus-christi,
1146,Cent Arkansas,central-arkansas,arkansas-little-rock,arkansas-state,
1147,Centenary,centenary-la,north-carolina-central,central-pennsylvania-college,
1148,Central Conn,central-connecticut-state,central-normal-college,central-pennsylvania-college,
1149,Charleston So,charleston-southern,college-of-charleston,cal-state-fullerton,
1150,Charlotte,charlotte,college-of-charleston,charleston-southern,
1151,Chattanooga,chattanooga,college-of-charleston,charlotte,
1152,Chicago St,chicago-state,illinois-chicago,chicago,
1153,Cincinnati,cincinnati,incarnate-word,haskell-indian-nations-institute,
1154,Citadel,citadel,oklahoma-city,cal-state-bakersfield,
1155,Clemson,clemson,dickinson-college,washington-college,
1156,Cleveland St,cleveland-state,portland-state,cal-state-los-angeles,
1157,Coastal Car,coastal-carolina,central-connecticut-state,florida-gulf-coast,
1158,Col Charleston,college-of-charleston,charleston-southern,carleton-college,
1159,Colgate,colgate,colorado-state,washington-college,
1160,Colorado,colorado,colorado-college,northern-colorado,
1161,Colorado St,colorado-state,colorado-school-of-mines,northern-colorado,
1162,Columbia,columbia,brigham-young-college,central-pennsylvania-college,
1163,Connecticut,connecticut,central-connecticut-state,cheyenne-business-college,
1164,Coppin St,coppin-state,wisconsin-stevens-point,central-connecticut-state,
1165,Cornell,cornell,carnegie-mellon,central-normal-college,
1166,Creighton,creighton,fairleigh-dickinson,washington-college,
1167,CS Bakersfield,cal-state-bakersfield,baker-university,springfield,
1168,CS Fullerton,cal-state-fullerton,charleston-southern,college-of-charleston,
1169,CS Northridge,cal-state-northridge,north-carolina-state,northest-missouri-state,
1170,CS Sacramento,sacramento-state,central-connecticut-state,charleston-southern,
1171,Dartmouth,dartmouth,south-dakota,south-dakota-state,
1172,Davidson,davidson,california-davis,fairleigh-dickinson,
1173,Dayton,dayton,davidson,dakota-wesleyan,
1174,Delaware,delaware,delaware-state,maryland-eastern-shore,
1175,Delaware St,delaware-state,delaware,st-lawrence,
1176,Denver,denver,latter-day-saints-university,widener,
1177,DePaul,depaul,depauw,delaware,
1178,Detroit,detroit-mercy,denison,beloit,
1179,Drake,drake,cal-state-bakersfield,duke,
1180,Drexel,drexel,delaware,drake,
1181,Duke,duke,drake,duquesne,
1182,Duquesne,duquesne,duke,cheyenne-business-college,
1183,E Illinois,eastern-illinois,southern-illinois-edwardsville,western-illinois,
1184,E Kentucky,eastern-kentucky,kentucky,northern-kentucky,
1185,E Michigan,eastern-michigan,michigan-state,western-michigan,
1186,E Washington,eastern-washington,george-washington,washington-lee,
1187,East Carolina,east-carolina,coastal-carolina,western-carolina,
1188,Edwardsville,southern-illinois-edwardsville,evansville,north-carolina-asheville,
1189,Elon,elon,carnegie-mellon,savage-school-of-physical-education,
1190,ETSU,east-tennessee-state,latter-day-saints-university,massachusetts-institute-of-technology,
1191,Evansville,evansville,southern-illinois-edwardsville,north-carolina-asheville,
1192,F Dickinson,fairleigh-dickinson,dickinson-college,savage-school-of-physical-education,
1193,Fairfield,fairfield,cal-state-bakersfield,springfield,
1194,FL Atlantic,florida-atlantic,florida-international,central-florida,
1195,FL Gulf Coast,florida-gulf-coast,coastal-carolina,college-of-charleston,
1196,Florida,florida,north-florida,florida-gulf-coast,
1197,Florida A&M,florida-am,florida-atlantic,florida-international,
1198,Florida Intl,florida-international,florida-atlantic,central-florida,
1199,Florida St,florida-state,florida-gulf-coast,south-florida,
1200,Fordham,fordham,samford,hartford,
1201,Fresno St,fresno-state,northest-missouri-state,florida-state,
1202,Furman,furman,rose-hulman,cal-state-fullerton,
1203,G Washington,george-washington,eastern-washington,washington,
1204,Ga Southern,georgia-southern,birmingham-southern,southern-california,
1205,Gardner Webb,gardner-webb,wagner,weber-state,
1206,George Mason,george-mason,george-washington,georgia-southern,
1207,Georgetown,georgetown,george-washington,george-mason,
1208,Georgia,georgia,georgia-southern,georgia-state,
1209,Georgia St,georgia-state,georgia-southern,georgia-tech,
1210,Georgia Tech,georgia-tech,virginia-tech,georgia-southern,
1211,Gonzaga,gonzaga,north-carolina-greensboro,geneva,
1212,Grambling,grambling,bowling-green-state,north-carolina-greensboro,
1213,Grand Canyon,grand-canyon,maryland-baltimore-county,carleton-college,
1214,Hampton,hampton,binghamton,seton-hall,
1215,Hardin-Simmons,hardin-simmons,haskell-indian-nations-institute,southern-illinois-edwardsville,
1216,Hartford,hartford,harvard,stanford,
1217,Harvard,harvard,hartford,howard,
1218,Hawaii,hawaii,new-hampshire,hamline,
1219,High Point,high-point,wisconsin-stevens-point,saint-josephs,
1220,Hofstra,hofstra,houston,north-carolina-central,
1221,Holy Cross,holy-cross,cheyenne-business-college,south-carolina-state,
1222,Houston,houston,sam-houston-state,houston-baptist,
1223,Houston Bap,houston-baptist,sam-houston-state,houston,
1224,Howard,howard,hartford,harvard,
1225,Idaho,idaho,idaho-state,florida-international,
1226,Idaho St,idaho-state,idaho,northest-missouri-state,
1227,IL Chicago,illinois-chicago,chicago,chicago-state,
1228,Illinois,illinois,western-illinois,southern-illinois,
1229,Illinois St,illinois-state,eastern-illinois,northeastern-illinois,
1230,Incarnate Word,incarnate-word,north-carolina-state,florida-international,
1231,Indiana,indiana,indiana-state,haskell-indian-nations-institute,
1232,Indiana St,indiana-state,haskell-indian-nations-institute,indiana,
1233,Iona,iona,florida-international,alliant-international,
1234,Iowa,iowa,northern-iowa,iowa-state,
1235,Iowa St,iowa-state,northern-iowa,indiana-state,
1236,IPFW,ipfw,iowa,iupui,
1237,IUPUI,iupui,pratt-institute,texas-am-corpus-christi,
1238,Jackson St,jackson-state,jacksonville-state,jacksonville,
1239,Jacksonville,jacksonville,jacksonville-state,jackson-state,
1240,Jacksonville St,jacksonville-state,jacksonville,jackson-state,
1241,James Madison,james-madison,maryland-eastern-shore,jackson-state,
1242,Kansas,kansas,kansas-state,missouri-kansas-city,
1243,Kansas St,kansas-state,arkansas-state,missouri-kansas-city,
1244,Kennesaw,kennesaw-state,kentucky-wesleyan,western-kentucky,
1245,Kent,kent-state,,northern-kentucky,kentucky
1246,Kentucky,kentucky,eastern-kentucky,western-kentucky,
1247,La Salle,la-salle,louisiana-state,cal-state-los-angeles,
1248,Lafayette,lafayette,louisiana-lafayette,latter-day-saints-university,
1249,Lamar,lamar,loyola-marymount,maryland,
1250,Lehigh,lehigh,fairleigh-dickinson,washington-lee,
1251,Liberty,liberty,long-island-university,cumberland-university,
1252,Lipscomb,lipscomb,colorado-school-of-mines,south-carolina-upstate,
1253,Long Beach St,long-beach-state,bowling-green-state,cal-state-los-angeles,
1254,Long Island,long-island-university,rhode-island,long-beach-state,
1255,Longwood,longwood,long-island-university,long-beach-state,
1256,Louisiana Tech,louisiana-tech,southeastern-louisiana,louisiana-state,
1257,Louisville,louisville,southern-illinois-edwardsville,louisiana-lafayette,
1258,Loy Marymount,loyola-marymount,mount-st-marys,maryland-baltimore-county,
1259,Loyola MD,loyola-md,loyola-marymount,loyola-il,
1260,Loyola-Chicago,illinois-chicago,chicago,chicago-state,
1261,LSU,louisiana-state,,louisville,latter-day-saints-university
1262,MA Lowell,massachusetts-lowell,louisiana-lafayette,loyola-la,
1263,Maine,maine,merchant-marine-academy,tennessee-martin,
1264,Manhattan,manhattan,chattanooga,manchester,
1265,Marist,marist,marietta,mount-st-marys,
1266,Marquette,marquette,marietta,massachusetts-institute-of-technology,
1267,Marshall,marshall,seton-hall,maryland-eastern-shore,
1268,Maryland,maryland,maryland-eastern-shore,maryland-baltimore-county,
1269,Massachusetts,massachusetts,massachusetts-institute-of-technology,massachusetts-lowell,
1270,McNeese St,mcneese-state,northest-missouri-state,east-tennessee-state,
1271,MD E Shore,maryland-eastern-shore,morehead-state,colorado-school-of-mines,
1272,Memphis,memphis,southern-methodist,eastern-michigan,
1273,Mercer,mercer,detroit-mercy,merchant-marine-academy,
1274,Miami FL,miami-fl,miami-oh,virginia-military-institute,
1275,Miami OH,miami-oh,miami-fl,washington-mo,
1276,Michigan,michigan,western-michigan,eastern-michigan,
1277,Michigan St,michigan-state,western-michigan,eastern-michigan,
1278,Minnesota,minnesota,minnesota-am,colorado-school-of-mines,
1279,Mississippi,mississippi,southern-mississippi,mississippi-state,
1280,Mississippi St,mississippi-state,mississippi-valley-state,southern-mississippi,
1281,Missouri,missouri,central-missouri,southeast-missouri-state,
1282,Missouri KC,missouri-kansas-city,central-missouri,northest-missouri-state,
1283,Missouri St,missouri-state,southeast-missouri-state,,northest-missouri-state
1284,Monmouth NJ,monmouth,dartmouth,southern-methodist,
